               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10034,            0.036621,            0.065704,           1.019e-05,           0.0041293,          5.3828e-06,          7.9515e-07,            0.094163,            0.019243,            0.064477,             0.07037,           0.0032922,           0.0032922
                   1,            0.086077,            0.040837,            0.063699,           0.0065432,             0.44194,           0.0072732,           0.0028987,            0.074759,             0.10116,            0.064181,            0.040277,           0.0065318,           0.0065318
                   2,            0.061561,            0.035065,            0.061757,            0.056206,             0.25987,            0.054764,            0.015817,            0.055051,            0.018812,            0.061643,            0.010089,           0.0096772,           0.0096772
                   3,            0.045062,            0.028494,            0.061042,             0.39583,             0.38935,             0.16181,            0.095776,            0.038584,            0.011791,            0.061452,           0.0095757,           0.0095757,           0.0095757
                   4,            0.037011,            0.024057,             0.05982,             0.20031,             0.54321,             0.22899,             0.14445,             0.03102,           0.0090949,            0.060062,           0.0095757,           0.0095757,           0.0095757
                   5,             0.03274,             0.02156,            0.058611,             0.20054,               0.533,             0.23302,             0.16721,            0.026771,           0.0086877,            0.059369,           0.0094343,           0.0094343,           0.0094343
                   6,            0.029708,            0.020027,            0.057333,             0.23835,             0.64456,             0.31213,             0.22871,            0.023688,            0.007347,            0.056697,           0.0092929,           0.0092929,           0.0092929
                   7,            0.028163,            0.019296,            0.055751,             0.26389,             0.67632,              0.3802,              0.2904,            0.021143,           0.0065566,            0.055158,           0.0091514,           0.0091514,           0.0091514
                   8,            0.027151,            0.018697,            0.053595,             0.27769,             0.66408,             0.37495,             0.24123,             0.02608,           0.0070586,            0.051537,             0.00901,             0.00901,             0.00901
                   9,            0.026265,            0.018558,            0.051751,             0.33646,             0.65258,             0.45405,              0.3643,            0.019559,           0.0060564,            0.049003,           0.0088686,           0.0088686,           0.0088686
                  10,            0.025581,            0.017513,            0.050034,             0.31161,             0.68846,             0.41913,             0.31454,            0.021486,           0.0062402,            0.049852,           0.0087271,           0.0087271,           0.0087271
                  11,            0.025077,             0.01779,            0.048796,             0.36111,             0.63215,             0.46377,              0.3273,            0.022145,           0.0062042,            0.047276,           0.0085857,           0.0085857,           0.0085857
                  12,             0.02422,            0.016911,            0.047837,             0.37626,             0.66571,             0.44371,             0.34683,             0.01945,           0.0061182,            0.046645,           0.0084443,           0.0084443,           0.0084443
                  13,            0.024309,            0.016911,            0.046792,             0.35732,             0.71827,             0.50001,             0.40688,            0.018354,           0.0058664,            0.046524,           0.0083029,           0.0083029,           0.0083029
                  14,            0.023699,            0.016434,            0.045133,             0.45351,             0.71623,             0.55032,             0.44141,            0.017986,           0.0059653,            0.042749,           0.0081614,           0.0081614,           0.0081614
                  15,            0.023517,            0.016475,            0.044072,             0.44505,             0.67891,             0.56807,             0.45154,            0.018675,           0.0059888,            0.044906,             0.00802,             0.00802,             0.00802
                  16,            0.023131,            0.016052,            0.043117,             0.51802,             0.73415,             0.67615,             0.54684,            0.017468,           0.0057687,            0.038657,           0.0078786,           0.0078786,           0.0078786
                  17,            0.023096,            0.016373,            0.041856,             0.47486,             0.66544,             0.62702,             0.49181,            0.017954,           0.0056125,            0.041166,           0.0077371,           0.0077371,           0.0077371
                  18,             0.02259,            0.015782,              0.0407,             0.55912,             0.75751,             0.73844,             0.58677,            0.017906,           0.0058345,            0.034768,           0.0075957,           0.0075957,           0.0075957
                  19,            0.022534,            0.015794,            0.039348,             0.57476,             0.72085,             0.73284,             0.58631,            0.016805,           0.0056795,            0.036993,           0.0074543,           0.0074543,           0.0074543
                  20,            0.022512,            0.015791,            0.038307,             0.58394,             0.77316,             0.75844,             0.61126,            0.017745,           0.0054934,            0.035151,           0.0073129,           0.0073129,           0.0073129
                  21,            0.022008,            0.015773,            0.036895,             0.63867,             0.77448,             0.78544,             0.62599,            0.018242,           0.0058208,            0.032465,           0.0071714,           0.0071714,           0.0071714
                  22,            0.022021,            0.015676,            0.035476,              0.6611,              0.7664,             0.78616,             0.64805,            0.016208,           0.0053149,            0.032587,             0.00703,             0.00703,             0.00703
                  23,            0.021729,            0.015428,            0.035208,             0.63093,              0.7292,             0.76658,             0.63035,            0.016028,           0.0053379,            0.034103,           0.0068886,           0.0068886,           0.0068886
                  24,            0.021572,             0.01569,            0.033756,             0.76528,             0.78685,             0.85321,             0.69828,            0.016087,           0.0054602,            0.029832,           0.0067471,           0.0067471,           0.0067471
                  25,            0.021344,            0.015196,            0.032718,             0.77383,             0.78297,             0.85648,             0.70688,            0.016549,           0.0055283,            0.028463,           0.0066057,           0.0066057,           0.0066057
                  26,            0.021298,            0.014854,            0.032181,             0.76792,             0.80053,             0.86143,             0.69187,            0.017524,           0.0056825,            0.027332,           0.0064643,           0.0064643,           0.0064643
                  27,            0.020975,            0.015092,            0.030828,              0.8644,             0.81179,             0.89522,             0.75842,            0.015001,           0.0053384,             0.02519,           0.0063229,           0.0063229,           0.0063229
                  28,            0.020818,            0.015102,            0.030341,             0.76362,             0.76837,               0.861,             0.72227,              0.0158,           0.0053415,            0.029019,           0.0061814,           0.0061814,           0.0061814
                  29,            0.020922,            0.014904,               0.029,             0.82767,             0.81641,             0.90264,             0.74795,            0.015575,           0.0052908,            0.026361,             0.00604,             0.00604,             0.00604
                  30,            0.020601,            0.014866,            0.028855,             0.85398,             0.84533,             0.92384,             0.78086,            0.015353,           0.0051624,            0.023749,           0.0058986,           0.0058986,           0.0058986
                  31,             0.02051,            0.014504,            0.028041,             0.84393,             0.84108,             0.91785,             0.77067,            0.015212,            0.005297,            0.023465,           0.0057571,           0.0057571,           0.0057571
                  32,             0.02031,            0.014799,            0.027048,             0.87815,             0.85407,              0.9306,             0.78263,            0.014688,           0.0051788,             0.02221,           0.0056157,           0.0056157,           0.0056157
                  33,            0.020208,            0.014366,            0.026512,             0.88506,             0.81505,             0.92093,             0.77103,            0.014904,            0.005107,            0.024244,           0.0054743,           0.0054743,           0.0054743
                  34,            0.020048,            0.014601,            0.025625,             0.83749,             0.83497,              0.9103,             0.77146,            0.014513,           0.0051365,            0.024559,           0.0053329,           0.0053329,           0.0053329
                  35,             0.01978,            0.014237,            0.025646,             0.90331,             0.81787,             0.93181,             0.79637,             0.01444,           0.0050262,            0.022831,           0.0051914,           0.0051914,           0.0051914
                  36,            0.019767,            0.014383,            0.025155,             0.90016,             0.87217,             0.94012,             0.80184,            0.014284,           0.0051521,             0.02049,             0.00505,             0.00505,             0.00505
                  37,            0.019238,            0.014227,            0.024439,             0.90132,             0.84104,             0.93242,             0.80177,            0.014007,           0.0049584,            0.023226,           0.0049086,           0.0049086,           0.0049086
                  38,            0.019079,            0.013896,             0.02394,             0.84663,             0.85241,             0.92671,             0.79511,            0.014473,           0.0049814,            0.022906,           0.0047671,           0.0047671,           0.0047671
                  39,            0.019171,            0.014075,            0.023716,             0.92711,             0.88628,             0.95414,             0.82087,            0.013976,           0.0050236,             0.01869,           0.0046257,           0.0046257,           0.0046257
                  40,            0.018829,             0.01402,            0.023333,              0.9135,             0.82614,             0.93106,             0.80156,            0.013609,           0.0048869,            0.021841,           0.0044843,           0.0044843,           0.0044843
                  41,             0.01859,            0.013771,            0.022122,             0.92204,             0.89096,             0.95398,             0.83265,            0.013836,           0.0048107,            0.018655,           0.0043429,           0.0043429,           0.0043429
                  42,            0.018486,            0.013763,            0.022003,             0.91203,             0.85008,              0.9464,             0.81971,            0.013874,           0.0049699,            0.019036,           0.0042014,           0.0042014,           0.0042014
                  43,            0.018294,            0.013738,            0.022229,              0.9168,             0.89349,             0.95917,             0.83521,            0.013464,           0.0048478,            0.018411,             0.00406,             0.00406,             0.00406
                  44,            0.018118,            0.013631,            0.021789,             0.90315,             0.90448,             0.95696,              0.8372,            0.013061,           0.0047503,            0.019528,           0.0039186,           0.0039186,           0.0039186
                  45,            0.017973,             0.01353,            0.021186,             0.89939,             0.83783,             0.93827,             0.81226,            0.013587,           0.0048431,            0.022013,           0.0037771,           0.0037771,           0.0037771
                  46,            0.018061,            0.013396,            0.021357,             0.90926,             0.86796,             0.94547,              0.8277,            0.012572,           0.0046265,            0.021162,           0.0036357,           0.0036357,           0.0036357
                  47,            0.017545,            0.013265,            0.020341,              0.9524,             0.86768,             0.96047,             0.83549,            0.013149,           0.0047558,            0.018485,           0.0034943,           0.0034943,           0.0034943
                  48,            0.017612,            0.013274,            0.020301,             0.93102,             0.88113,             0.95662,             0.82494,            0.013292,           0.0047392,            0.018097,           0.0033529,           0.0033529,           0.0033529
                  49,            0.017372,            0.013342,            0.020012,             0.92363,             0.88427,             0.95982,             0.84357,            0.012589,           0.0045436,            0.017374,           0.0032114,           0.0032114,           0.0032114
                  50,            0.017541,            0.013722,            0.019705,              0.9311,             0.89597,             0.96145,             0.84892,            0.012589,           0.0046529,            0.017874,             0.00307,             0.00307,             0.00307
                  51,            0.017125,            0.012904,            0.019617,             0.85269,             0.84164,             0.92539,             0.80909,            0.013035,            0.004656,            0.024656,           0.0029286,           0.0029286,           0.0029286
                  52,            0.017004,            0.013249,             0.01913,             0.94443,             0.88169,             0.96239,             0.84922,            0.012557,           0.0045666,            0.018007,           0.0027871,           0.0027871,           0.0027871
                  53,            0.016806,            0.012799,            0.018518,             0.95308,             0.89569,             0.96713,             0.85548,             0.01231,           0.0044685,             0.01626,           0.0026457,           0.0026457,           0.0026457
                  54,            0.016688,            0.013255,            0.018149,             0.93885,             0.88959,             0.96454,              0.8588,            0.012277,           0.0045206,            0.017036,           0.0025043,           0.0025043,           0.0025043
                  55,            0.016425,            0.013026,            0.017898,             0.93746,             0.91136,             0.96472,              0.8537,            0.012471,           0.0044892,            0.017094,           0.0023629,           0.0023629,           0.0023629
                  56,            0.016463,            0.013056,            0.017547,             0.94023,              0.8758,             0.96346,             0.84937,             0.01257,           0.0046052,            0.017314,           0.0022214,           0.0022214,           0.0022214
                  57,             0.01623,            0.012717,            0.017741,             0.94419,             0.90565,             0.96759,             0.85837,            0.012483,           0.0045174,            0.016839,             0.00208,             0.00208,             0.00208
                  58,            0.016158,            0.012578,            0.017303,             0.96877,             0.89602,             0.97067,             0.86811,            0.012032,            0.004458,            0.015303,           0.0019386,           0.0019386,           0.0019386
                  59,            0.016208,            0.012662,            0.017264,             0.95865,             0.90967,              0.9695,             0.86393,            0.012313,           0.0044704,            0.016003,           0.0017971,           0.0017971,           0.0017971
                  60,            0.016022,            0.012441,            0.016866,             0.93664,               0.914,             0.96974,             0.86358,            0.011758,           0.0044341,            0.016508,           0.0016557,           0.0016557,           0.0016557
                  61,            0.015739,             0.01248,            0.016396,             0.95874,             0.90208,             0.96983,             0.86831,            0.011677,           0.0043565,            0.015441,           0.0015143,           0.0015143,           0.0015143
                  62,            0.015703,            0.012271,            0.016418,              0.9551,              0.9191,             0.97231,             0.86717,            0.012221,           0.0044083,            0.014578,           0.0013729,           0.0013729,           0.0013729
                  63,            0.015442,            0.012152,            0.015988,             0.94221,             0.92744,             0.97313,             0.87591,            0.011963,           0.0043103,            0.014185,           0.0012314,           0.0012314,           0.0012314
                  64,            0.015292,            0.012455,            0.015554,             0.96258,             0.90916,             0.97074,             0.87183,            0.011839,           0.0043816,            0.014288,             0.00109,             0.00109,             0.00109
                  65,            0.015117,            0.011726,            0.015511,             0.95581,             0.91647,             0.97242,             0.87144,            0.011954,           0.0043656,            0.015038,          0.00094857,          0.00094857,          0.00094857
                  66,            0.015199,            0.011897,             0.01544,             0.95578,             0.92315,             0.97258,             0.87533,            0.011799,           0.0043717,            0.014849,          0.00080714,          0.00080714,          0.00080714
                  67,            0.015145,             0.01227,            0.015288,             0.95054,             0.92487,             0.97269,             0.87468,            0.011664,           0.0042848,            0.014585,          0.00066571,          0.00066571,          0.00066571
                  68,            0.014682,            0.011852,            0.014708,             0.96843,             0.91444,             0.97331,             0.87677,            0.011696,           0.0042959,            0.014452,          0.00052429,          0.00052429,          0.00052429
                  69,            0.014743,            0.011931,            0.014741,             0.96192,             0.91618,             0.97431,             0.87994,            0.011717,           0.0042845,            0.014307,          0.00038286,          0.00038286,          0.00038286
